"Cell","Site","contra","AltFreq","AltPos","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","a0","a0.1","a0.2","a0.3","a0.4","a0.5","a0.6","a0.7","a0.8","a0.9","a1","NA.","NA.1","NA.2","NA.3","NA.4","NA.5","NA.6","NA.7","NA.8","NA.10","NA.11","NA.12","NA.13","NA.14","Trial","Mean_Bin_1","Mean_Bin_2","Mean_Bin_3","Mean_Bin_4","Mean_Bin_5","Mean_Bin_6","Mean_Bin_7","Mean_Bin_8","Mean_Bin_9","Mean_Bin_10","Mean_Bin_11","Mean_Bin_12","Mean_Bin_13","Mean_Bin_14","Mean_Bin_15","Mean_Bin_16","Mean_Bin_17","Mean_Bin_18","Mean_Bin_19","Mean_Bin_20","Mean_Bin_21","Mean_Bin_22","Mean_Bin_23","Mean_Bin_24","Min_Max_Min.","Min_Max_1st.Qu.","Min_Max_Median","Min_Max_Mean","Min_Max_3rd.Qu.","Min_Max_Max.","Switch_at_0.1","Switch_at_0.2","Switch_at_0.3","Mean_Bin_25","Mean_Bin_26","Mean_Bin_27","Mean_Bin_28","Mean_Bin_29","Mean_Bin_30","Mean_Bin_31","Mean_Bin_32","Mean_Bin_33","Mean_Bin_34","Mean_Bin_35","Mean_Bin_36","Mean_Bin_37","Mean_Bin_38","Mean_Bin_39","Mean_Bin_40","n_bins"
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.768736046066829,0.776117007631292,0.783534441129675,0.781878475081842,0.781580031686299,0.785725016691354,0.790813533119771,0.791641853839681,0.79003645175836,0.789861272722162,0.794991386713238,0.797160195620349,0.792458723514147,0.798446695859455,0.802001416888681,0.802702051321414,0.805375184682426,0.803405723038575,0.797296063609723,0.798943431971451,0.803402578307841,0.794245461047577,0.796046519902034,0.801886455597345,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.734472150667495,0.727707465739111,0.731309901138089,0.733177998269461,0.72823694998168,0.724959594370983,0.732902659056613,0.747871222598588,0.752298964247017,0.756394288855791,0.755944440680371,0.758283296067399,0.766778999474978,0.768586365163701,0.762840632627517,0.763331370940327,0.771520559080152,0.768690521360613,0.772645846828385,0.770829537560157,0.768338421314028,0.765667796544641,0.752251227327172,0.750938891895943,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.661689492957994,0.662072493226134,0.662837313419008,0.661098772906568,0.657139829257684,0.654167324975609,0.647983657523168,0.648486667121943,0.646427406154009,0.644835263760003,0.642849752051297,0.642615076319361,0.641578663896935,0.634645875296735,0.637665057933224,0.642775428222168,0.649517325037881,0.656274079535805,0.656074305996217,0.662284036834581,0.667074518623322,0.676215065411934,0.684438809116878,0.692286938296859,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC080311Loc_DoubleSound",0,-1,1100,24,1,7.96e-14,3.35e-14,1.26e-12,"Mixture",1,0.07,0.07,0.05,0.05,0.04,0.05,0.05,0.07,0.07,0.09,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.710665068593057,0.708510964254297,0.698552891208242,0.695740272487924,0.696686104613397,0.693570435649004,0.689317371066115,0.693694122023426,0.697164731429528,0.690990751236402,0.688039400427768,0.694600182031666,0.690872654944422,0.693336819367154,0.693260547086222,0.69729063118159,0.699136950375404,0.69646134058834,0.695253421620099,0.700411011366255,0.705772173960055,0.711212283692673,0.711255446237977,0.70629458967873,0.01393,0.03858,0.06095,0.09545,0.1071,0.5219,0.38,0.14,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.769471200117845,0.770290965354895,0.77512098015898,0.778062858689739,0.777474586133866,0.777396930402188,0.776252113463773,0.774695690780802,0.773924516853873,0.775437095363154,0.777813970302811,0.777556698527063,0.777812603613755,0.779700244939172,0.78054619630027,0.777555238253122,0.772846373069347,0.768479063222931,0.76689169771756,0.767015432359734,0.76840768102917,0.770643806526934,0.773049566104542,0.774607293650886,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.790633378706482,0.795119327647275,0.800034044300149,0.802397547258823,0.800876760121846,0.797826249508351,0.795003500044858,0.792332315716985,0.792689998460217,0.793386598240375,0.791583872841502,0.789632393330704,0.788059419533636,0.785435400299805,0.782756967417056,0.782307978235393,0.783214718316561,0.784434150475396,0.788192474781133,0.791170407164686,0.78994827203967,0.790025422797938,0.792435556735645,0.79361299187471,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.781017604893629,0.781825650568424,0.779869440507792,0.778717146024085,0.778721151824101,0.780161199507806,0.781415881939946,0.782405967371055,0.783182465078708,0.783333013218937,0.782389359275059,0.78129299667574,0.780739810481819,0.78086832199428,0.780174994682322,0.777950111780865,0.777912190153698,0.780737177673288,0.785333908100826,0.790615195349624,0.794781643368935,0.796705047538809,0.796096711053002,0.793203732121667,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.790563955341233,0.792723068732063,0.792085284632349,0.790869495118034,0.791105663174406,0.790669467412522,0.789687768360959,0.789605077343045,0.791721889878297,0.793741560258846,0.795011103920655,0.795039744183178,0.794249435569805,0.794123148812098,0.794550046782004,0.794520424738595,0.794479472371353,0.793801925239637,0.793532780261916,0.793908189119503,0.796314954722194,0.798182220732706,0.796042063972974,0.792770272994529,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.762657220739689,0.76311374567894,0.762556383015955,0.761431821546552,0.759339226359508,0.75772647704051,0.758455181548521,0.7599806260601,0.760432519578827,0.761381927589423,0.763788423596035,0.765341159583713,0.766230027561692,0.766949634379689,0.766711065935961,0.766538263132203,0.765088396545616,0.761253456589873,0.758951812678305,0.759673126561691,0.761988916037265,0.761846769601738,0.760518722103567,0.758772246402007,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"YKIC102811_1Loc_DoubleSound",0,-1,500,6,1,2.4e-13,1.69e-15,2.33e-12,"Mixture",1,0.07,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.08,0.12,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.693662034650726,0.691742671218817,0.691663727227554,0.6936131826483,0.695363993732786,0.697023119012924,0.697768352287708,0.697525401548436,0.697463195022999,0.697595720163635,0.697821903263577,0.699011230663953,0.701409023508877,0.704790352972884,0.707568093834731,0.706725157243226,0.705378863525755,0.706083120033623,0.707947464114617,0.709562729599602,0.710410594480273,0.710527797630442,0.710364328675217,0.709687827798166,0.002954,0.05698,0.1368,0.1936,0.2903,0.921,1.19504,0.56756,0.23388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
