Cell,Site,AltFreq,AltPos,PoiWin,HmmWin,PoiWinPr,HmmWinPr,HmmMidAlph,SwiRate,DivRate,PrStartA,PrA2B,PrB2A,PrSwiMajor,PrDivMajor,PvalSepRank,PvalSepPoi,MinSampSing,PrAlpha0,PrAlpha10,PrAlpha20,PrAlpha30,PrAlpha40,PrAlpha50,PrAlpha60,PrAlpha70,PrAlpha80,PrAlpha90,PrAlpha100,Swi40.60,Swi60.80,Swi80.100,Div40.60,Div60.80,Div80.100,PowSwi,PowAllA,PowAllB,PowAve,ClarityA,ClarityB,MinPow,SepBF,Pval1,Pval2,PrMix,PrAve,PrOut,PrSing,Comments,set
YKIC102811_1Loc_DoubleSound,1,500,24,Single,Divide,0.52,0.93,0.49,0.16,0.84,0.37,0.81,0.8,0.07,0.93,0,0,11,0.09,0.12,0.14,0.14,0.12,0.1,0.07,0.06,0.06,0.05,0.05,0,0,0,0,2,9,0.58,1,1,1,0.38,0.56,0.6,-6.3222,0,0.65,0.24,0.18,0.06,0.52,,JA
YKIC100111_1Loc_DoubleSound,1,500,-6,Single,Divide,0.5,0.99,0.41,0.07,0.93,0.5,0.81,0.82,0.01,0.99,0.01,0,7,0.05,0.05,0.06,0.06,0.07,0.08,0.1,0.1,0.12,0.15,0.18,0,0,0,0,0,12,0.62,1,1,0.92,0.35,0.47,0.6,-0.8813,0.1184,0.24,0.23,0.06,0.21,0.5,,JA
YKIC113011Loc_DoubleSound,1,903,24,Single,Divide,0.44,0.92,0.43,0.17,0.83,0.51,0.82,0.81,0.08,0.92,0,0,7,0.13,0.12,0.1,0.1,0.09,0.09,0.08,0.07,0.08,0.07,0.07,0,0,0,0,0,3,0.58,1,1,0.83,0.38,0.36,0.6,46.5023,0.1169,0.14,0.27,0.22,0.07,0.44,,JA
YKIC090811_1Loc_DoubleSound,1,609,6,Single,Divide,0.39,0.8,0.44,0.26,0.74,0.53,0.8,0.82,0.2,0.8,0.03,0,3,0.07,0.08,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.12,0.13,0,0,0,0,2,2,0.58,1,0.67,0.88,0.37,0.3,0.6,9.3621,0.5658,0.47,0.21,0.2,0.2,0.39,,JA
YKIC110111_1Loc_DoubleSound,1,500,24,Single,Divide,0.38,0.94,0.45,0.14,0.86,0.49,0.82,0.81,0.06,0.94,0.01,0,4,0.1,0.12,0.13,0.12,0.1,0.09,0.07,0.07,0.06,0.07,0.06,0,0,0,0,0,5,0.58,1,1,0.96,0.41,0.35,0.6,0.0712,0.7284,0.3,0.23,0.35,0.04,0.38,,JA
YKIC110111_1Loc_DoubleSound,1,1100,-6,Single,Divide,0.35,0.96,0.36,0.13,0.87,0.5,0.82,0.82,0.04,0.96,0,0,8,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.13,0.19,0,0,0,0,0,3,0.58,1,0.88,0.92,0.37,0.39,0.6,94.6393,0.5534,0.64,0.22,0.17,0.26,0.35,,JA
YKIC110411_3Loc_DoubleSound,1,1100,24,Single,Divide,0.35,0.83,0.43,0.23,0.77,0.5,0.81,0.77,0.17,0.83,0.02,0,3,0.14,0.11,0.1,0.1,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0,0,0,0,3,1,0.58,1,1,0.92,0.42,0.34,0.6,9.8772,0.1224,0.47,0.19,0.13,0.33,0.35,,JA
PSIC111010Loc_DoubleSound,1,1100,24,Single,Divide,0.34,0.6,0.47,0.42,0.58,0.54,0.82,0.81,0.4,0.6,0.01,0.04,6,0.09,0.09,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0,0,0,2,1,0,0.62,0.79,0.58,0.79,0.29,0.29,0.6,0.7528,0.4237,0.73,0.27,0.31,0.08,0.34,,JA
YKIC082611Loc_DoubleSound,1,1100,6,Single,Divide,0.34,0.84,0.49,0.24,0.76,0.45,0.82,0.82,0.16,0.84,0.05,0,2,0.07,0.08,0.08,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.08,0,0,0,0,1,3,0.58,1,1,0.96,0.36,0.39,0.6,1.4609,0,0.22,0.18,0.2,0.28,0.34,,JA
YKIC111111_3Loc_DoubleSound,1,500,-6,Single,Divide,0.34,0.8,0.46,0.26,0.74,0.51,0.81,0.82,0.2,0.8,0,0,7,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.09,0,0,0,0,1,2,0.62,1,0.96,0.83,0.32,0.35,0.6,12.4745,0.5068,0.37,0.32,0.33,0.01,0.34,,JA
