Cell,Site,contra,AltFreq,AltPos,PrMix,PrAve,PrOut,PrSing,WinModels,WinPr,a0,a0.1,a0.2,a0.3,a0.4,a0.5,a0.6,a0.7,a0.8,a0.9,a1,NA,NA.1,NA.2,NA.3,NA.4,NA.5,NA.6,NA.7,NA.8,NA.10,NA.11,NA.12,NA.13,NA.14
PSIC091710Loc_DoubleSound,0,1,1100,-6,0.648007,0.316778091,0.001206715,0.034008194,Mixture,0.648007,0.09,0.08,0.09,0.09,0.09,0.09,0.1,0.11,0.1,0.09,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091710Loc_DoubleSound,0,1,903,-24,0.54783853,0.376485897,0.001281179,0.074394394,Mixture,0.54783853,0.09,0.09,0.1,0.09,0.09,0.09,0.1,0.09,0.08,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC091710Loc_DoubleSound,0,1,609,6,0.240983801,0.269220222,0.086153425,0.403642552,Single,0.403642552,0.11,0.11,0.11,0.1,0.08,0.1,0.09,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092010Loc_DoubleSound,0,1,609,6,0.025584659,0.842937571,0.018781886,0.112695884,Average,0.842937571,0.09,0.09,0.1,0.11,0.1,0.09,0.1,0.1,0.08,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092010Loc_DoubleSound,0,1,500,6,0.259506613,0.221402472,0.128686882,0.390404033,Single,0.390404033,0.12,0.11,0.1,0.09,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092010Loc_DoubleSound,0,1,903,-6,0.357768728,0.288526451,0.077819089,0.275885732,Mixture,0.357768728,0.08,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.09,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092010Loc_DoubleSound,0,1,1100,24,0.336670213,0.304083962,0.072009918,0.287235907,Mixture,0.336670213,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.11,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092110Loc_DoubleSound,0,1,1100,-24,0.031494905,0.819853592,0.016846211,0.131805293,Average,0.819853592,0.05,0.06,0.07,0.08,0.08,0.1,0.11,0.11,0.12,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092110Loc_DoubleSound,0,1,1100,-6,0.346743874,0.501591675,0.023542008,0.128122443,Average,0.501591675,0.07,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSIC092110Loc_DoubleSound,0,1,609,24,0.234675744,0.292980118,0.010002197,0.462341941,Single,0.462341941,0.08,0.08,0.08,0.08,0.1,0.09,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
