"Cell","Site","contra","AltFreq","AltPos","PrMix","PrAve","PrOut","PrSing","WinModels","WinPr","Switch","url"
"YKIC140516Loc_DoubleSound",2,1,500,-6,0.560119608,0.256608184,0.000826918,0.18244529,"Mixture",0.560119608,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140516Loc_DoubleSound_Site2_Freq500_Pos-6.png"
"YKIC140226Loc_DoubleSound",1,1,500,-6,0.550060591,0.256782247,0.000881816,0.192275346,"Mixture",0.550060591,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140226Loc_DoubleSound_Site1_Freq500_Pos-6.png"
"YKIC141009Loc_DoubleSound",1,1,1632,-24,0.202004492,0.526678304,0.058679471,0.212637733,"Average",0.526678304,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC141009Loc_DoubleSound_Site1_Freq1632_Pos-24.png"
"YKIC140529Loc_DoubleSound",1,1,500,6,0.201263001,0.272002842,0.000412513,0.526321644,"Single",0.526321644,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140529Loc_DoubleSound_Site1_Freq500_Pos6.png"
"YKIC140603Loc_DoubleSound",1,1,1632,-6,0.246267539,0.524485877,0.006124631,0.223121954,"Average",0.524485877,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140603Loc_DoubleSound_Site1_Freq1632_Pos-6.png"
"YKIC140603Loc_DoubleSound",1,1,500,-6,0.517982636,0.363086726,0.02473803,0.094192609,"Mixture",0.517982636,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140603Loc_DoubleSound_Site1_Freq500_Pos-6.png"
"YKIC140516Loc_DoubleSound",2,1,500,6,0.139251859,0.504256076,0.068888154,0.287603912,"Average",0.504256076,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140516Loc_DoubleSound_Site2_Freq500_Pos6.png"
"YKIC140219Loc_DoubleSound",2,1,1100,-6,0.999728482,0.000247309,2.14e-09,2.42e-05,"Mixture",0.999728482,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140219Loc_DoubleSound_Site2_Freq1100_Pos-6.png"
"YKIC141009Loc_DoubleSound",1,1,500,-6,0.212336879,0.467628448,0.052225666,0.267809007,"Average",0.467628448,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC141009Loc_DoubleSound_Site1_Freq500_Pos-6.png"
"YKIC140528Loc_DoubleSound",1,1,500,-6,0.155877041,0.270417617,0.110130662,0.46357468,"Single",0.46357468,"Switch","https://github.com/azz2/DPMMM/tree/master/summary_images/YKIC140528Loc_DoubleSound_Site1_Freq500_Pos-6.png"
